序号,股票代码,股票简称,纳入时间,申万1级,申万2级,申万3级,价格,市盈率,市盈率ttm,市净率,股息率,市值,归母净利润同比增长(09-30),归母净利润同比增长(06-30),营业收入同比增长(09-30),营业收入同比增长(06-30)
1,300298.SZ,三诺生物,2012-03-26,—,—,医疗设备,18.19,31.23,36.15,3.19,1.19,101.91,-17.36,-8.52,8.52,6.12
2,300206.SZ,理邦仪器,2011-04-28,—,—,医疗设备,14.45,51.67,33.93,3.91,1.43,83.76,49.29,23.47,4.63,-0.91
3,300869.SZ,康泰医学,2020-08-31,—,—,医疗设备,15.52,,,3.59,1.61,62.36,-5.08,107.39,3.03,2.72
4,688580.SH,伟思医疗,2023-09-25,—,—,医疗设备,56.31,52.89,42.82,3.25,1.42,53.93,30.68,39.71,11.58,9.85
5,688805.SH,健信超导,2025-12-31,—,—,医疗设备,44.36,133.34,107.75,6.24,,74.38,38.54,,37.34,
6,300030.SZ,阳普医疗,2010-01-04,—,—,医疗设备,8.23,,,4.03,,25.45,156.55,389.4,-17.14,-21.22
7,301235.SZ,华康洁净,2022-02-11,—,—,医疗设备,50.54,81.53,50.28,3.0,0.1,54.47,211.46,273.48,32.59,50.73
8,301367.SZ,瑞迈特,2022-11-08,—,—,医疗设备,83.73,48.28,35.68,2.52,0.47,75.02,43.87,42.19,34.24,42.3
9,688114.SH,华大智造,2023-09-25,—,—,医疗设备,66.7,,,3.6,,277.82,74.2,65.28,-0.01,-7.9
10,688271.SH,联影医疗,2023-09-25,—,—,医疗设备,129.41,84.52,62.34,5.15,0.16,1066.54,66.91,5.03,27.39,12.79
11,688273.SH,麦澜德,2023-09-25,—,—,医疗设备,44.19,43.5,43.53,3.3,1.55,44.19,-0.07,-11.96,4.01,5.62
12,688301.SH,奕瑞科技,2023-09-25,—,—,医疗设备,121.6,55.27,38.88,4.34,0.56,257.12,20.61,8.82,14.22,3.94
13,688410.SH,山外山,2023-09-25,—,—,医疗设备,17.13,77.23,48.27,3.11,0.58,54.75,68.68,20.28,39.79,28.72
14,300049.SZ,福瑞医科,2010-01-27,—,—,医疗设备,66.33,155.15,142.7,9.22,,175.76,9.69,-31.09,12.37,11.02
15,600055.SH,万东医疗,1999-12-30,—,—,医疗设备,16.05,71.71,783.2,2.41,0.81,112.84,-123.51,-39.46,8.73,20.46
16,688139.SH,海尔生物,2023-09-25,—,—,医疗设备,32.66,28.19,40.4,2.44,1.43,103.37,-35.83,-39.09,-1.17,-2.27
17,301290.SZ,东星医疗,2022-12-07,—,—,医疗设备,28.81,29.62,,1.35,2.05,28.86,-181.13,-36.47,-10.21,-14.17
18,300341.SZ,麦克奥迪,2023-07-06,—,—,医疗设备,16.96,54.35,47.87,4.56,0.41,87.75,17.86,18.46,10.35,5.6
19,300760.SZ,迈瑞医疗,2018-10-23,—,—,医疗设备,192.1,19.96,27.08,6.18,2.41,2329.1,-28.83,-32.96,-12.38,-18.45
20,300246.SZ,宝莱特,2011-07-26,—,—,医疗设备,13.52,,,3.12,0.37,35.77,38.85,152.22,-1.77,-2.43
21,301363.SZ,美好医疗,2022-10-19,—,—,医疗设备,31.39,49.09,56.85,4.88,0.48,178.57,-19.25,-32.44,3.28,3.73
22,002223.SZ,鱼跃医疗,2008-04-25,—,—,医疗设备,39.51,21.93,22.76,3.02,2.02,396.08,-4.28,7.37,8.58,8.16
23,300171.SZ,东富龙,2011-02-15,—,—,医疗设备,16.08,63.45,71.21,1.57,0.65,123.15,-13.86,-59.71,6.14,6.01
24,301602.SZ,超研股份,2025-02-06,—,—,医疗设备,22.31,65.64,67.2,7.34,0.46,95.56,-3.66,18.5,-2.9,15.0
25,300358.SZ,楚天科技,2014-01-28,—,—,医疗设备,10.87,,,1.45,,77.73,145.11,85.11,-6.6,-14.55
26,300633.SZ,开立医疗,2017-04-13,—,—,医疗设备,27.27,82.87,176.32,3.78,0.36,118.0,-69.25,-72.43,4.37,-4.78
27,300314.SZ,戴维医疗,2012-05-15,—,—,医疗设备,14.3,71.92,61.86,3.38,0.61,41.18,14.71,9.57,-2.55,-5.48
28,688277.SH,天智航-U,2023-09-25,—,—,医疗设备,24.63,,,8.99,,112.31,-49.73,-23.8,103.51,114.89
