序号,股票代码,股票简称,纳入时间,申万1级,申万2级,申万3级,价格,市盈率,市盈率ttm,市净率,股息率,市值,归母净利润同比增长(09-30),归母净利润同比增长(06-30),营业收入同比增长(09-30),营业收入同比增长(06-30)
1,603351.SH,威尔药业,2019-02-13,—,—,原料药,27.58,25.51,25.31,2.12,1.45,37.35,1.03,-7.77,1.79,-2.1
2,605507.SH,国邦医药,2021-08-09,—,—,原料药,26.94,19.26,17.25,1.82,2.23,150.55,15.78,12.6,1.17,4.63
3,300401.SZ,花园生物,2014-10-16,—,—,原料药,18.07,31.76,32.54,3.11,0.63,98.21,-3.07,13.67,-0.2,5.86
4,000952.SZ,广济药业,1999-11-12,—,—,原料药,7.86,,,2.82,,27.25,38.64,29.19,-7.12,-4.08
5,605116.SH,奥锐特,2020-09-28,—,—,原料药,27.42,31.39,26.23,4.42,1.05,111.38,24.58,24.55,13.67,12.5
6,300452.SZ,山河药辅,2015-05-22,—,—,原料药,16.28,31.96,29.46,4.09,1.83,38.17,8.28,-2.61,8.09,4.65
7,301281.SZ,科源制药,2023-04-12,—,—,原料药,33.17,59.42,68.76,2.62,0.6,35.92,-20.7,18.26,-8.52,-3.91
8,300636.SZ,同和药业,2017-04-11,—,—,原料药,8.2,32.31,36.44,1.45,0.49,34.44,-12.61,-15.91,11.63,11.88
9,605177.SH,东亚药业,2020-12-02,—,—,原料药,21.49,,,1.45,,24.65,-260.31,-193.09,-38.08,-35.85
10,300267.SZ,尔康制药,2011-10-11,—,—,原料药,3.7,,,1.71,,76.32,255.4,497.36,17.81,9.74
11,688690.SH,纳微科技,2023-09-25,—,—,原料药,28.73,140.04,78.07,6.19,0.22,116.02,156.56,40.52,22.01,21.74
12,300765.SZ,新诺威,2019-03-29,—,—,原料药,34.67,906.39,,13.21,0.06,486.97,-117.26,-102.0,7.71,7.99
13,603520.SH,司太立,2016-03-16,—,—,原料药,10.53,,,1.78,1.42,46.16,221.14,27.24,2.24,5.06
14,002102.SZ,能特科技,2017-12-27,—,—,原料药,3.36,,,2.51,,83.18,276.59,496.36,-23.24,-16.09
15,000953.SZ,河化股份,2022-08-01,—,—,原料药,7.15,33.03,331.48,16.98,,26.18,-89.99,45.56,-22.34,-37.02
16,688758.SH,赛分科技,2025-01-17,—,—,原料药,18.87,92.28,63.44,5.95,0.36,78.59,71.07,40.91,38.39,19.77
17,300702.SZ,天宇股份,2021-12-13,—,—,原料药,24.3,151.17,44.1,2.27,0.21,84.56,159.57,180.96,18.36,23.87
18,300966.SZ,共同药业,2021-04-16,—,—,原料药,21.23,,,3.16,,24.47,-129.02,-117.88,24.54,29.33
19,000739.SZ,普洛药业,2014-09-29,—,—,原料药,18.8,21.12,25.27,3.36,3.73,217.79,-19.48,-9.89,-16.43,-15.31
20,000756.SZ,新华制药,1997-08-06,—,—,原料药,15.88,23.54,28.95,2.13,1.55,110.63,-25.53,-15.69,0.42,-1.98
21,301301.SZ,川宁生物,2024-07-31,—,—,原料药,10.9,17.36,25.98,3.07,2.47,243.08,-43.17,-40.64,-22.9,-26.5
22,600488.SH,津药药业,2022-08-01,—,—,原料药,4.26,34.86,285.45,1.54,2.3,46.51,-62.75,-65.28,-13.24,-11.81
23,301089.SZ,拓新药业,2021-11-03,—,—,原料药,29.33,,,2.44,,37.12,-1036.53,-927.39,-16.64,-16.85
24,688356.SH,键凯科技,2023-09-25,—,—,原料药,94.55,192.19,151.27,4.42,0.16,57.35,24.72,-21.08,13.47,0.89
25,603538.SH,美诺华,2017-04-14,—,—,原料药,21.02,69.42,46.62,2.06,0.24,46.38,51.66,158.97,17.67,11.42
26,002332.SZ,仙琚制药,2022-08-01,—,—,原料药,9.24,23.01,33.4,1.55,4.33,91.4,-23.29,-9.26,-12.71,-12.56
27,002365.SZ,永安药业,2010-03-15,—,—,原料药,14.88,70.99,172.59,2.22,0.66,43.85,-58.78,-76.19,-6.72,-13.72
28,300497.SZ,富祥药业,2015-12-29,—,—,原料药,15.18,,,3.81,,81.77,-1.09,69.23,-21.24,-24.58
29,002817.SZ,黄山胶囊,2022-08-01,—,—,原料药,8.31,50.46,43.02,2.63,0.85,24.86,21.01,19.78,-0.69,3.66
30,603229.SH,奥翔药业,2017-05-16,—,—,原料药,9.82,39.43,44.11,3.47,1.02,81.54,-9.59,-5.83,-6.4,-2.14
31,688166.SH,博瑞医药,2023-09-25,—,—,原料药,46.31,103.58,315.63,8.21,0.21,195.94,-71.64,-83.85,-10.5,-18.28
32,301258.SZ,富士莱,2022-04-07,—,—,原料药,34.18,190.98,41.25,1.64,0.26,31.33,430.16,12430.96,3.23,3.36
33,002099.SZ,海翔药业,2007-01-08,—,—,原料药,6.83,,,2.16,,110.56,-39.15,-63.01,-5.39,-10.94
34,301065.SZ,本立科技,2022-08-01,—,—,原料药,23.87,39.19,36.18,1.89,0.82,25.31,10.67,7.64,-10.67,-9.67
35,688076.SH,ST诺泰,2024-12-24,—,—,原料药,35.14,27.46,22.27,3.57,1.62,111.06,26.92,36.49,21.95,26.07
36,301246.SZ,宏源药业,2023-03-27,—,—,原料药,20.95,162.83,589.21,1.93,0.14,83.8,-103.04,-116.23,-0.39,-1.73
37,300381.SZ,溢多利,2021-12-13,—,—,原料药,6.82,107.71,515.44,1.29,1.43,33.49,-57.47,-66.5,0.77,4.48
38,301277.SZ,新天地,2022-11-23,—,—,原料药,12.76,28.81,40.44,3.29,2.24,50.03,-35.19,-30.01,-10.42,-9.57
39,001367.SZ,海森药业,2023-04-17,—,—,原料药,24.23,30.12,29.81,2.57,0.47,36.91,1.45,4.74,12.13,14.93
40,301211.SZ,亨迪药业,2021-12-29,—,—,原料药,12.93,58.98,142.77,2.39,1.33,54.0,-71.96,-72.92,-4.52,-2.93
41,600216.SH,浙江医药,1999-10-21,—,—,原料药,14.97,12.4,11.57,1.3,2.45,143.96,9.83,113.52,-5.87,-1.87
42,300583.SZ,赛托生物,2017-01-13,—,—,原料药,14.79,,,1.59,0.14,28.06,-570.46,-498.8,-2.07,-10.39
