序号,股票代码,股票简称,纳入时间,申万1级,申万2级,申万3级,价格,市盈率,市盈率ttm,市净率,股息率,市值,归母净利润同比增长(09-30),归母净利润同比增长(06-30),营业收入同比增长(09-30),营业收入同比增长(06-30)
1,301115.SZ,联检科技,2022-09-07,—,—,检测服务,18.1,201.22,108.67,1.32,1.89,33.22,67.12,37.75,6.23,7.93
2,603183.SH,建研院,2017-09-12,—,—,检测服务,4.77,39.33,58.64,1.49,0.52,23.71,-80.47,-83.08,-11.92,-12.06
3,003008.SZ,开普检测,2020-09-30,—,—,检测服务,23.89,29.04,28.42,2.41,4.19,24.85,3.34,3.73,0.17,3.23
4,300416.SZ,苏试试验,2022-08-01,—,—,检测服务,18.5,41.01,39.22,3.53,0.81,94.08,7.14,14.18,8.95,8.09
5,301632.SZ,广东建科,2025-08-19,—,—,检测服务,24.35,95.14,73.16,3.82,,101.92,190.62,2.74,-2.65,-3.95
6,002057.SZ,中钢天源,2023-07-06,—,—,检测服务,10.36,45.34,32.99,2.45,1.2,78.1,41.02,43.07,18.43,16.94
7,301228.SZ,实朴检测,2022-02-11,—,—,检测服务,39.29,,,6.83,,47.15,-5.45,-2.45,-17.87,-15.97
8,300572.SZ,安车检测,2016-12-13,—,—,检测服务,28.58,,,3.69,,65.45,19.52,4.05,-0.17,0.3
9,688757.SH,胜科纳米,2025-04-01,—,—,检测服务,30.7,152.52,148.92,14.03,0.65,123.82,3.59,11.48,31.22,29.03
10,300797.SZ,钢研纳克,2022-08-01,—,—,检测服务,18.08,47.71,43.77,5.47,0.66,69.2,15.08,20.92,11.64,9.24
11,300012.SZ,华测检测,2009-11-06,—,—,检测服务,15.58,28.47,26.57,3.51,0.96,262.18,8.78,7.03,6.96,6.05
12,603060.SH,国检集团,2016-11-16,—,—,检测服务,6.87,27.12,47.27,2.8,1.66,55.23,-42.17,-77.94,3.57,1.31
13,301449.SZ,天溯计量,2025-12-30,—,—,检测服务,77.85,45.72,42.05,4.46,,50.77,11.62,9.83,12.12,11.99
14,300215.SZ,电科院,2011-05-18,—,—,检测服务,9.21,313.63,,3.52,0.05,68.99,-247.44,-718.26,-19.08,-23.95
15,300887.SZ,谱尼测试,2020-09-23,—,—,检测服务,11.65,,,2.22,,63.58,15.07,-4.83,-17.01,-22.43
16,002967.SZ,广电计量,2019-11-15,—,—,检测服务,24.2,40.08,35.09,4.13,1.19,141.12,26.51,22.11,11.86,10.01
17,301508.SZ,中机认检,2023-12-08,—,—,检测服务,32.87,56.12,48.92,3.64,0.64,74.31,17.27,7.24,7.67,1.46
18,300938.SZ,信测标准,2021-02-03,—,—,检测服务,35.2,48.67,45.58,4.72,0.75,85.71,8.33,2.4,8.31,1.35
19,688334.SH,西高院,2023-09-25,—,—,检测服务,23.76,32.89,28.57,2.63,1.56,75.22,21.28,14.09,15.05,11.57
20,301289.SZ,国缆检测,2022-06-29,—,—,检测服务,58.73,60.85,52.48,4.64,0.7,45.81,22.22,13.32,17.05,14.48
