序号,股票代码,股票简称,纳入时间,申万1级,申万2级,申万3级,价格,市盈率,市盈率ttm,市净率,股息率,市值,归母净利润同比增长(09-30),归母净利润同比增长(06-30),营业收入同比增长(09-30),营业收入同比增长(06-30)
1,002932.SZ,明德生物,2018-07-17,—,—,体外诊断,19.26,60.1,631.04,0.81,5.88,44.78,-83.3,-80.82,0.53,-9.71
2,688389.SH,普门科技,2023-09-25,—,—,体外诊断,13.78,17.1,23.52,2.81,2.05,59.05,-36.66,-29.27,-10.96,-14.08
3,002086.SZ,东方海洋,2024-01-02,—,—,体外诊断,2.27,,,3.35,,44.47,-51.43,-71.23,-0.78,0.34
4,300439.SZ,美康生物,2015-04-29,—,—,体外诊断,10.2,15.19,41.63,1.33,1.32,39.2,-73.02,-68.15,-19.27,-22.43
5,002030.SZ,达安基因,2004-08-16,—,—,体外诊断,6.42,,,1.16,,90.1,71.85,54.37,-14.81,-15.44
6,688253.SH,英诺特,2023-09-25,—,—,体外诊断,35.21,19.54,36.14,2.37,1.56,48.23,-46.37,-39.36,-36.56,-34.35
7,300642.SZ,透景生命,2017-04-28,—,—,体外诊断,18.6,87.54,189.94,2.06,0.8,30.23,-76.33,-58.41,-19.73,-26.25
8,600645.SH,中源协和,1999-12-30,—,—,体外诊断,25.45,118.68,159.33,3.21,,119.09,-19.18,-32.18,-9.41,-10.71
9,688606.SH,奥泰生物,2023-09-25,—,—,体外诊断,68.78,18.03,18.5,1.43,3.58,54.53,-3.91,6.57,2.44,8.41
10,688217.SH,睿昂基因,2023-09-25,—,—,体外诊断,30.52,,,1.91,0.55,17.05,-198.14,-61.46,-26.64,-22.29
11,688068.SH,热景生物,2023-09-25,—,—,体外诊断,136.17,,,4.3,,126.24,-168.12,-93.24,-19.8,-18.04
12,300942.SZ,易瑞生物,2021-02-23,—,—,体外诊断,9.75,230.74,126.41,4.67,0.18,39.49,362.49,250.02,17.45,5.44
13,002022.SZ,科华生物,2004-07-28,—,—,体外诊断,6.2,,,1.03,,31.89,-90.38,-154.37,-11.77,-12.65
14,688298.SH,东方生物,2023-09-25,—,—,体外诊断,24.27,,,0.77,,48.93,18.89,-7.58,2.16,-3.62
15,688399.SH,硕世生物,2023-09-25,—,—,体外诊断,70.45,,,1.99,4.83,59.09,-88.38,-86.35,-3.95,-1.05
16,688575.SH,亚辉龙,2023-09-25,—,—,体外诊断,14.53,27.53,57.93,3.06,1.44,83.02,-72.36,-84.82,-7.69,-15.79
17,688393.SH,安必平,2023-09-25,—,—,体外诊断,27.79,122.13,,2.12,0.36,26.0,-136.34,-176.38,-28.29,-30.11
18,688468.SH,科美诊断,2023-09-25,—,—,体外诊断,7.86,24.81,55.81,2.24,1.56,31.53,-62.94,-68.24,-24.13,-27.03
19,688338.SH,赛科希德,2023-09-25,—,—,体外诊断,32.91,30.91,40.09,2.07,0.98,34.93,-22.83,-23.47,-13.62,-12.62
20,688067.SH,爱威科技,2023-09-25,—,—,体外诊断,27.77,82.67,70.07,3.67,0.55,18.88,16.35,21.16,11.63,12.7
21,688317.SH,之江生物,2023-09-25,—,—,体外诊断,21.48,,,1.22,,41.28,-125.82,-137.88,-34.27,-36.91
22,300463.SZ,迈克生物,2015-06-04,—,—,体外诊断,11.99,57.17,,1.15,0.87,72.5,-86.81,-83.12,-17.44,-15.94
23,688426.SH,康为世纪,2024-07-31,—,—,体外诊断,25.73,,,2.08,,28.94,20.37,-11.7,42.01,29.74
24,688193.SH,仁度生物,2023-09-25,—,—,体外诊断,52.18,,,2.29,0.46,20.91,50.15,-52.94,-8.79,-6.27
25,300832.SZ,新产业,2020-05-19,—,—,体外诊断,54.39,23.37,25.91,4.89,2.39,427.35,-12.92,-14.62,0.39,-1.18
26,300685.SZ,艾德生物,2017-08-09,—,—,体外诊断,21.3,32.72,28.75,4.26,1.41,83.4,15.5,31.41,2.08,6.69
27,300396.SZ,迪瑞医疗,2014-09-17,—,—,体外诊断,13.27,25.5,,1.91,1.96,36.19,-145.31,-117.13,-60.12,-60.07
28,300406.SZ,九强生物,2014-11-06,—,—,体外诊断,13.21,14.54,17.94,2.09,6.78,77.45,-27.03,-30.01,-18.24,-18.67
29,603387.SH,基蛋生物,2017-07-24,—,—,体外诊断,8.59,19.48,20.87,1.62,2.1,43.56,-8.48,-25.88,-13.88,-17.0
30,002432.SZ,九安医疗,2022-08-01,—,—,体外诊断,41.45,11.55,10.2,0.87,0.45,192.73,16.11,52.91,-48.89,-43.35
31,300289.SZ,利德曼,2012-02-23,—,—,体外诊断,7.04,,,2.31,,38.3,-765.83,-800.43,-10.49,-14.8
32,603658.SH,安图生物,2016-09-08,—,—,体外诊断,36.76,17.59,19.13,2.4,3.43,210.06,-10.11,-7.83,-7.48,-6.65
33,300482.SZ,万孚生物,2015-07-07,—,—,体外诊断,20.65,17.21,37.26,1.79,1.99,96.66,-69.32,-46.82,-22.52,-20.92
34,688289.SH,圣湘生物,2023-09-25,—,—,体外诊断,20.0,42.05,42.68,1.63,2.66,115.88,-2.1,3.84,20.49,21.15
35,300639.SZ,凯普生物,2017-04-19,—,—,体外诊断,6.93,,,1.17,,44.8,51.25,-16.46,-20.38,-22.96
36,600807.SH,济高发展,2024-07-31,—,—,体外诊断,3.39,,,68.36,,29.99,-78.54,-57.51,-17.59,-23.36
37,688656.SH,浩欧博,2023-09-25,—,—,体外诊断,143.84,248.1,250.64,11.01,0.2,91.31,-1.41,-39.1,-4.84,-6.48
38,688767.SH,博拓生物,2023-09-25,—,—,体外诊断,36.03,31.74,52.46,2.3,1.98,53.8,-75.04,-82.82,-20.76,-23.91
39,688075.SH,安旭生物,2023-09-25,—,—,体外诊断,39.81,26.31,41.86,0.98,2.01,50.59,-52.6,-48.57,-19.34,-7.42
