序号,股票代码,股票简称,纳入时间,申万1级,申万2级,申万3级,价格,市盈率,市盈率ttm,市净率,股息率,市值,归母净利润同比增长(09-30),归母净利润同比增长(06-30),营业收入同比增长(09-30),营业收入同比增长(06-30)
1,301293.SZ,三博脑科,2023-05-12,—,—,医院,75.89,148.84,185.86,6.69,0.19,156.32,-20.01,4.6,20.26,17.54
2,301267.SZ,华厦眼科,2022-11-14,—,—,医院,18.97,37.18,36.1,2.69,1.62,159.35,3.04,6.2,2.83,4.31
3,002219.SZ,新里程,2022-06-24,—,—,医院,2.39,70.54,344.46,4.11,,80.96,-167.83,-88.25,-23.4,-20.64
4,300015.SZ,爱尔眼科,2009-11-06,—,—,医院,11.51,30.18,33.34,4.95,2.08,1073.35,-9.76,0.05,7.25,9.12
5,300143.SZ,盈康生命,2010-12-16,—,—,医院,11.43,74.22,71.55,3.39,,85.66,5.2,12.82,10.59,2.4
6,301103.SZ,何氏眼科,2022-03-29,—,—,医院,21.6,,321.36,1.79,0.68,34.13,232.18,84.19,-1.11,-4.22
7,002622.SZ,皓宸医疗,2023-07-06,—,—,医院,3.02,,,6.96,,25.37,-295.68,-4391.18,-17.03,-17.9
8,600568.SH,ST中珠,2001-05-25,—,—,医院,2.8,,,3.25,,55.8,63.44,63.04,12.82,20.29
9,002044.SZ,美年健康,2005-05-25,—,—,医院,7.07,98.05,89.42,3.5,0.19,276.74,110.53,-2.59,-3.01,-2.28
10,301239.SZ,普瑞眼科,2022-07-12,—,—,医院,36.03,,,2.54,,53.91,3.21,-66.12,2.99,2.74
11,002172.SZ,澳洋健康,2022-08-01,—,—,医院,4.41,83.25,80.41,19.34,,33.77,3.71,-15.46,-9.39,-12.49
12,002173.SZ,创新医疗,2007-10-09,—,—,医院,29.35,,,7.27,,129.52,116.97,29.12,-2.11,-1.6
13,600763.SH,通策医疗,1999-12-30,—,—,医院,50.82,45.33,44.0,5.23,0.89,227.31,3.16,3.67,2.56,2.68
14,002524.SZ,光正眼科,2010-12-24,—,—,医院,4.7,,,21.61,,24.22,100.83,11.38,-5.05,-9.49
15,000516.SZ,国际医学,1999-12-30,—,—,医院,4.95,,,3.32,,110.83,-38.45,4.98,-16.94,-15.95
